id,video_path,frame_dir,seg_dir,ground_truth
01April_2010_Thursday_heute_default-5,video/test/01April_2010_Thursday_heute_default-5/01April_2010_Thursday_heute_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01April_2010_Thursday_heute_default-5/1,CSLR-IIGA/segmentation/test/01April_2010_Thursday_heute_default-5,ABER FREUEN  MORGEN SONNE SELTEN REGEN
01April_2010_Thursday_tagesschau_default-7,video/test/01April_2010_Thursday_tagesschau_default-7/01April_2010_Thursday_tagesschau_default-7.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01April_2010_Thursday_tagesschau_default-7/1,CSLR-IIGA/segmentation/test/01April_2010_Thursday_tagesschau_default-7,SAMSTAG WECHSELHAFT BESONDERS FREUNDLICH NORDOST BISSCHEN BEREICH
01April_2010_Thursday_tagesschau_default-8,video/test/01April_2010_Thursday_tagesschau_default-8/01April_2010_Thursday_tagesschau_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01April_2010_Thursday_tagesschau_default-8/1,CSLR-IIGA/segmentation/test/01April_2010_Thursday_tagesschau_default-8,SONNTAG REGEN TEIL GEWITTER SUEDOST DURCH REGEN
01April_2011_Friday_tagesschau_default-0,video/test/01April_2011_Friday_tagesschau_default-0/01April_2011_Friday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01April_2011_Friday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/01April_2011_Friday_tagesschau_default-0,__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE APRIL __OFF__ __ON__ ZEIGEN-BILDSCHIRM __OFF__
01April_2011_Friday_tagesschau_default-14,video/test/01April_2011_Friday_tagesschau_default-14/01April_2011_Friday_tagesschau_default-14.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01April_2011_Friday_tagesschau_default-14/1,CSLR-IIGA/segmentation/test/01April_2011_Friday_tagesschau_default-14,__ON__ MONTAG UEBERALL WECHSELHAFT ABER KUEHL AB DIENSTAG IN-KOMMEND LANGSAM WIEDER ZURUECK FREUNDLICH WARM __OFF__
01April_2011_Friday_tagesschau_default-6,video/test/01April_2011_Friday_tagesschau_default-6/01April_2011_Friday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01April_2011_Friday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/01April_2011_Friday_tagesschau_default-6,__ON__ FLUSS NORDOST HEUTE ABEND NOCH WOLKE KOENNEN REGEN SUEDOST
01December_2011_Thursday_heute_default-6,video/test/01December_2011_Thursday_heute_default-6/01December_2011_Thursday_heute_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01December_2011_Thursday_heute_default-6/1,CSLR-IIGA/segmentation/test/01December_2011_Thursday_heute_default-6,DAZWISCHEN REGION MILD NEUN BIS VIERZEHN GRAD TAG AUCH REGEN
01December_2011_Thursday_tagesschau_default-6,video/test/01December_2011_Thursday_tagesschau_default-6/01December_2011_Thursday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01December_2011_Thursday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/01December_2011_Thursday_tagesschau_default-6,WIND  MAESSIG FRISCH STARK STURM BERG SCHWER STURM SUEDOST SCHWACH WIND
01February_2011_Tuesday_tagesschau_default-13,video/test/01February_2011_Tuesday_tagesschau_default-13/01February_2011_Tuesday_tagesschau_default-13.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01February_2011_Tuesday_tagesschau_default-13/1,CSLR-IIGA/segmentation/test/01February_2011_Tuesday_tagesschau_default-13,DONNERSTAG KOMMEN REGEN KOENNEN GLATT
01February_2011_Tuesday_tagesschau_default-15,video/test/01February_2011_Tuesday_tagesschau_default-15/01February_2011_Tuesday_tagesschau_default-15.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01February_2011_Tuesday_tagesschau_default-15/1,CSLR-IIGA/segmentation/test/01February_2011_Tuesday_tagesschau_default-15,SUED FREUNDLICH TROCKEN __OFF__
