Epoch 0: train_loss=6.3458, val_loss=5.7601, val_wer=0.8945, best_wer=0.8945
Epoch 1: train_loss=5.2621, val_loss=5.2305, val_wer=0.8942, best_wer=0.8942
Epoch 2: train_loss=4.4713, val_loss=4.2828, val_wer=0.7653, best_wer=0.7653
Epoch 3: train_loss=3.7518, val_loss=3.6416, val_wer=0.6275, best_wer=0.6275
Epoch 4: train_loss=3.3141, val_loss=3.2960, val_wer=0.5684, best_wer=0.5684
Epoch 5: train_loss=2.9608, val_loss=2.9289, val_wer=0.4888, best_wer=0.4888
Epoch 6: train_loss=2.6707, val_loss=2.6114, val_wer=0.4468, best_wer=0.4468
Epoch 7: train_loss=2.4378, val_loss=2.5771, val_wer=0.4416, best_wer=0.4416
Epoch 8: train_loss=2.2659, val_loss=2.4400, val_wer=0.4116, best_wer=0.4116
Epoch 9: train_loss=2.0955, val_loss=2.3645, val_wer=0.3895, best_wer=0.3895
Epoch 10: train_loss=1.9498, val_loss=2.2616, val_wer=0.3694, best_wer=0.3694
Epoch 11: train_loss=1.8248, val_loss=2.2351, val_wer=0.3558, best_wer=0.3558
Epoch 12: train_loss=1.7167, val_loss=2.3678, val_wer=0.3911, best_wer=0.3558
Epoch 13: train_loss=1.6163, val_loss=2.1272, val_wer=0.3279, best_wer=0.3279
Epoch 14: train_loss=1.5246, val_loss=2.1180, val_wer=0.3323, best_wer=0.3279
Epoch 15: train_loss=1.4433, val_loss=2.1274, val_wer=0.3320, best_wer=0.3279
Epoch 16: train_loss=1.3674, val_loss=2.0632, val_wer=0.3181, best_wer=0.3181
Epoch 17: train_loss=1.2926, val_loss=2.1972, val_wer=0.3531, best_wer=0.3181
Epoch 18: train_loss=1.2269, val_loss=2.0654, val_wer=0.3013, best_wer=0.3013
Epoch 19: train_loss=1.1645, val_loss=2.0447, val_wer=0.3059, best_wer=0.3013
Epoch 20: train_loss=1.1067, val_loss=2.1355, val_wer=0.3104, best_wer=0.3013
Epoch 21: train_loss=1.0482, val_loss=2.1535, val_wer=0.3244, best_wer=0.3013
Epoch 22: train_loss=0.9981, val_loss=2.1459, val_wer=0.3074, best_wer=0.3013
Epoch 23: train_loss=0.9662, val_loss=2.1130, val_wer=0.3022, best_wer=0.3013
